File,sentId,Sentence,SentenceParse,eId,eiId,eText,Normalization,FactValues,PragValues,TrainTest
ABC19980120.1830.0957.tml,12,"The main positive for Castro to invite the Pope is international, to be able to say to the rest of the world, this government is not as closed, as intolerant, uh as totalitarian as some make it out to be.","(S (S (NP (NP (DT The) (JJ main) (NN positive)) (PP (IN for) (NP (NNP Castro))) (S (VP (TO to) (VP (VB invite) (NP (DT the) (NNP Pope)))))) (VP (VBZ is) (NP (JJ international)) (, ,) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB say) (PP (TO to) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN world)))))))))))))) (, ,) (NP (DT this) (NN government)) (VP (VBZ is) (RB not) (ADJP (ADJP (RB as) (JJ closed)) (, ,) (ADJP (RB as) (JJ intolerant)) (, ,) (RB uh) (ADJP (RB as) (JJ totalitarian))) (SBAR (IN as) (S (NP (DT some)) (VP (VBP make) (S (NP (PRP it)) (ADVP (RB out)) (VP (TO to) (VP (VB be)))))))) (. .))",e100,ei438,able,"Castro will be able to say to the rest of the world, this government is not as closed, as intolerant, as totalitarian as some make it out to be",AUTHOR:uu,ct_minus:0|ct_plus:5|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:0|uu:3,train
ABC19980120.1830.0957.tml,13,"One of the scenarios widely advanced before the visit is that through the Pope, Cuba, still led by Castro, can begin a more productive relationship with the world.","(S (NP (NP (CD One)) (PP (IN of) (NP (DT the) (NNS scenarios)))) (ADVP (RB widely)) (VP (VBD advanced) (SBAR (IN before) (S (NP (DT the) (NN visit)) (VP (VBZ is) (SBAR (IN that) (S (PP (IN through) (NP (DT the) (NNP Pope))) (, ,) (NP (NP (NNP Cuba)) (, ,) (VP (ADVP (RB still)) (VBN led) (PP (IN by) (NP (NNP Castro)))) (, ,)) (VP (MD can) (VP (VB begin) (NP (NP (DT a) (ADJP (RBR more) (JJ productive)) (NN relationship)) (PP (IN with) (NP (DT the) (NN world)))))))))))) (. .))",e107,ei446,relationship,there will be a more productive relationship between Cuba and the world,AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:8|uu:2,train
ABC19980120.1830.0957.tml,15,"Those observers looking for a battle between uncompromising representatives and very different ideologies will, in all likelihood, be disappointed.","(S (NP (NP (DT Those) (NNS observers)) (VP (VBG looking) (PP (IN for) (NP (NP (DT a) (NN battle)) (PP (IN between) (NP (NP (VBG uncompromising) (NNS representatives)) (CC and) (NP (ADJP (RB very) (JJ different)) (NNS ideologies)))))))) (VP (MD will) (, ,) (PP (IN in) (NP (DT all) (NN likelihood))) (, ,) (VP (VB be) (ADJP (JJ disappointed)))) (. .))",e53,ei451,disappointed,the observers will be disappointed,AUTHOR:pr_plus,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:9|ps_minus:0|ps_plus:1|uu:0,train
ABC19980120.1830.0957.tml,15,"Those observers looking for a battle between uncompromising representatives and very different ideologies will, in all likelihood, be disappointed.","(S (NP (NP (DT Those) (NNS observers)) (VP (VBG looking) (PP (IN for) (NP (NP (DT a) (NN battle)) (PP (IN between) (NP (NP (VBG uncompromising) (NNS representatives)) (CC and) (NP (ADJP (RB very) (JJ different)) (NNS ideologies)))))))) (VP (MD will) (, ,) (PP (IN in) (NP (DT all) (NN likelihood))) (, ,) (VP (VB be) (ADJP (JJ disappointed)))) (. .))",e52,ei450,battle,there will be a battle,AUTHOR:pr_minus,ct_minus:1|ct_plus:0|pr_minus:7|pr_plus:0|ps_minus:0|ps_plus:0|uu:2,train
ABC19980120.1830.0957.tml,19,The main negative is the risk that the Pope\'s visit will persuade a great many more Cubans to break loose of the Cuban government.,(S (NP (DT The) (JJ main) (NN negative)) (VP (VBZ is) (NP (DT the) (NN risk)) (SBAR (IN that) (S (NP (NP (DT the) (NNP Pope) (POS 's)) (NN visit)) (VP (MD will) (VP (VB persuade) (NP (DT a) (JJ great) (JJ many) (JJR more) (NNS Cubans)) (S (VP (TO to) (VP (VB break) (ADVP (RB loose)) (PP (IN of) (NP (DT the) (JJ Cuban) (NN government))))))))))) (. .)),e64,ei459,persuade,the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government,AUTHOR:ps_plus,ct_minus:0|ct_plus:0|pr_minus:1|pr_plus:0|ps_minus:0|ps_plus:9|uu:0,train
ABC19980120.1830.0957.tml,19,The main negative is the risk that the Pope\'s visit will persuade a great many more Cubans to break loose of the Cuban government.,(S (NP (DT The) (JJ main) (NN negative)) (VP (VBZ is) (NP (DT the) (NN risk)) (SBAR (IN that) (S (NP (NP (DT the) (NNP Pope) (POS 's)) (NN visit)) (VP (MD will) (VP (VB persuade) (NP (DT a) (JJ great) (JJ many) (JJR more) (NNS Cubans)) (S (VP (TO to) (VP (VB break) (ADVP (RB loose)) (PP (IN of) (NP (DT the) (JJ Cuban) (NN government))))))))))) (. .)),e66,ei460,break,many more Cubans will break loose of the Cuban government,AUTHOR:ps_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:5|uu:4,train
ABC19980304.1830.1636.tml,7,No woman has actually been in charge of a mission until now.,(S (NP (DT No) (NN woman)) (VP (VBZ has) (ADVP (RB actually)) (VP (VBN been) (PP (IN in) (NP (NP (NN charge)) (PP (IN of) (NP (DT a) (NN mission))))) (PP (IN until) (NP (RB now))))) (. .)),e254,ei289,in,a woman had been in charge,AUTHOR:ct_minus,ct_minus:9|ct_plus:1|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980304.1830.1636.tml,15,Nobody hurried her up.,(S (NP (NN Nobody)) (VP (VBZ hurried) (NP (PRP her)) (PRT (RP up))) (. .)),e24,ei280,hurried,someone hurried her up,AUTHOR:ct_minus,ct_minus:8|ct_plus:2|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980304.1830.1636.tml,16,No one held her back.,(S (NP (DT No) (NN one)) (VP (VBD held) (NP (PRP$ her) (NN back))) (. .)),e25,ei281,held,someone held her back,AUTHOR:ct_minus,ct_minus:9|ct_plus:1|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900815-0044.tml,3,"Iraq\'s Saddam Hussein, facing U.S. and Arab troops at the Saudi border, today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran-Iraq war.","(S (NP (NP (NNP Iraq) (POS 's)) (NNP Saddam) (NNP Hussein)) (, ,) (S (VP (VBG facing) (NP (NNP U.S.) (CC and) (NNP Arab) (NNS troops)) (PP (IN at) (NP (DT the) (JJ Saudi) (NN border))))) (, ,) (NP-TMP (NN today)) (VP (VBD sought) (NP (NN peace)) (PP (IN on) (NP (DT another) (NN front))) (PP (IN by) (S (VP (VBG promising) (S (VP (TO to) (VP (VB withdraw) (PP (IN from) (NP (NP (JJ Iranian) (NN territory) (CC and) (NN release) (NNS soldiers)) (VP (VBN captured) (PP (IN during) (NP (DT the) (NNP Iran-Iraq) (NN war))))))))))))) (. .))",e10,ei1524,release,Saddam Hussein will release soldiers captured during the Iran-Iraq war,AUTHOR:uu,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:4|ps_minus:0|ps_plus:3|uu:2,train
AP900815-0044.tml,9,"In a speech delivered at the Pentagon, Bush seemed to suggest that American forces could be in the gulf region for some time.","(S (PP (IN In) (NP (NP (DT a) (NN speech)) (VP (VBN delivered) (PP (IN at) (NP (DT the) (NNP Pentagon)))))) (, ,) (NP (NNP Bush)) (VP (VBD seemed) (S (VP (TO to) (VP (VB suggest) (SBAR (IN that) (S (NP (JJ American) (NNS forces)) (VP (MD could) (VP (VB be) (PP (IN in) (NP (NP (DT the) (NN gulf) (NN region)) (PP (IN for) (NP (DT some) (NN time))))))))))))) (. .))",e43,ei1547,suggest,Bush suggested that American forces could be in the gulf region for some time,AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:6|ps_minus:0|ps_plus:2|uu:1,train
AP900815-0044.tml,12,"In a letter to President Hashemi Rafsanjani of Iran, read by a broadcaster over Baghdad radio, Saddam said he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war.","(S (PP (IN In) (NP (NP (DT a) (NN letter)) (PP (TO to) (NP (NP (NNP President) (NNP Hashemi) (NNP Rafsanjani)) (PP (IN of) (NP (NNP Iran))) (, ,) (VP (VBN read) (PP (IN by) (NP (NP (DT a) (NN broadcaster)) (PP (IN over) (NP (NNP Baghdad) (NN radio)))))))))) (, ,) (NP (NNP Saddam)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (MD will) (VP (VP (VB begin) (S (VP (VBG withdrawing) (NP (NNS troops)) (PP (IN from) (NP (NP (JJ Iranian) (NN territory)) (PP (IN on) (NP (NNP Friday)))))))) (CC and) (VP (VB release) (NP (NP (JJ Iranian) (NNS prisoners)) (PP (IN of) (NP (NN war)))))))))) (. .))",e61,ei1558,read,a letter was read,AUTHOR:ct_plus,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900815-0044.tml,14,Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran.,(S (NP (NNP Saddam)) (VP (VBD appeared) (S (VP (TO to) (VP (VB accept) (NP (NP (DT a) (NN border) (NN demarcation) (NN treaty)) (SBAR (S (NP (PRP he)) (VP (VBD had) (VP (VBN rejected) (PP (IN in) (NP (NP (NN peace) (NNS talks)) (PP (VBG following) (NP (NP (DT the) (NNP August) (CD 1988) (NN cease-fire)) (PP (IN of) (NP (NP (DT the) (JJ eight-year) (NN war)) (PP (IN with) (NP (NNP Iran)))))))))))))))))) (. .)),e75,ei1569,accept,Saddam accepted a border demarcation treaty,AUTHOR:pr_plus,ct_minus:0|ct_plus:2|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:6|uu:0,train
AP900815-0044.tml,15,"The move seemed aimed at heading off more trouble with Iran, which had condemned Iraq\'s invasion of Kuwait on Aug. 2 but also criticized the multinational force dispatched to Saudi Arabia.","(S (NP (DT The) (NN move)) (VP (VP (VBD seemed) (VP (VBN aimed) (PP (IN at) (S (VP (VBG heading) (PRT (RP off)) (NP (NP (JJR more) (NN trouble)) (PP (IN with) (NP (NP (NNP Iran)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD had) (VP (VBN condemned) (NP (NP (NP (NNP Iraq) (POS 's)) (NN invasion)) (PP (IN of) (NP (NNP Kuwait)))) (PP (IN on) (NP (NNP Aug.) (CD 2))))))))))))))) (CC but) (VP (ADVP (RB also)) (VBD criticized) (NP (NP (DT the) (JJ multinational) (NN force)) (VP (VBN dispatched) (PP (TO to) (NP (NNP Saudi) (NNP Arabia))))))) (. .))",e84,ei1577,aimed,the move aimed at heading off more trouble with Iran,AUTHOR:pr_plus,ct_minus:0|ct_plus:3|pr_minus:0|pr_plus:4|ps_minus:0|ps_plus:2|uu:1,train
AP900815-0044.tml,18,The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad.,(S (NP (DT The) (NNP Pentagon)) (VP (VBD said) (SBAR (IN that) (S (NP (NNP Defense) (NNP Secretary) (NNP Dick) (NNP Cheney)) (VP (VBZ is) (VP (VBG considering) (S (VP (VBG urging) (S (NP (NNP Bush)) (VP (TO to) (VP (VB order) (NP (NP (DT a) (JJ national) (NN callup)) (PP (IN of) (NP (NP (JJ armed) (NNS forces) (NNS reserves)) (PP (IN for) (NP (NP (JJ active) (NN duty)) (PP (RB because) (IN of) (NP (DT the) (NN drain)))))))) (PP (IN on) (NP (NP (NNS units)) (VP (VBG sending) (NP (NNS soldiers)) (ADVP (RB abroad))))))))))))))) (. .)),e103,ei1595,duty,there will be active duty,Pentagon_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:5|uu:4,train
AP900815-0044.tml,18,The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad.,(S (NP (DT The) (NNP Pentagon)) (VP (VBD said) (SBAR (IN that) (S (NP (NNP Defense) (NNP Secretary) (NNP Dick) (NNP Cheney)) (VP (VBZ is) (VP (VBG considering) (S (VP (VBG urging) (S (NP (NNP Bush)) (VP (TO to) (VP (VB order) (NP (NP (DT a) (JJ national) (NN callup)) (PP (IN of) (NP (NP (JJ armed) (NNS forces) (NNS reserves)) (PP (IN for) (NP (NP (JJ active) (NN duty)) (PP (RB because) (IN of) (NP (DT the) (NN drain)))))))) (PP (IN on) (NP (NP (NNS units)) (VP (VBG sending) (NP (NNS soldiers)) (ADVP (RB abroad))))))))))))))) (. .)),e100,ei1592,urging,Dick Cheney is urging Bush to order a national callup of armed forces reserves for active duty,Pentagon_AUTHOR:uu|AUTHOR:uu,ct_minus:1|ct_plus:0|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:5|uu:2,train
AP900815-0044.tml,18,The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad.,(S (NP (DT The) (NNP Pentagon)) (VP (VBD said) (SBAR (IN that) (S (NP (NNP Defense) (NNP Secretary) (NNP Dick) (NNP Cheney)) (VP (VBZ is) (VP (VBG considering) (S (VP (VBG urging) (S (NP (NNP Bush)) (VP (TO to) (VP (VB order) (NP (NP (DT a) (JJ national) (NN callup)) (PP (IN of) (NP (NP (JJ armed) (NNS forces) (NNS reserves)) (PP (IN for) (NP (NP (JJ active) (NN duty)) (PP (RB because) (IN of) (NP (DT the) (NN drain)))))))) (PP (IN on) (NP (NP (NNS units)) (VP (VBG sending) (NP (NNS soldiers)) (ADVP (RB abroad))))))))))))))) (. .)),e101,ei1593,order,Bush will order a national callup of armed forces reserves for active duty,Pentagon_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:6|uu:4,train
AP900815-0044.tml,19,"Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval.","(S (NP (NNP Bush)) (VP (MD can) (VP (VB call) (PRT (RP up)) (PP (TO to) (NP (NP (CD 200,000) (NNS reservists)) (PP (IN for) (NP (QP (IN up) (TO to) (CD 180)) (NNS days))))) (PP (IN without) (S (VP (VBG seeking) (NP (JJ congressional) (NN approval))))))) (. .))",e107,ei1598,call,"Bush will call up to 200,000 reservists",AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:3|uu:7,train
AP900815-0044.tml,19,"Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval.","(S (NP (NNP Bush)) (VP (MD can) (VP (VB call) (PRT (RP up)) (PP (TO to) (NP (NP (CD 200,000) (NNS reservists)) (PP (IN for) (NP (QP (IN up) (TO to) (CD 180)) (NNS days))))) (PP (IN without) (S (VP (VBG seeking) (NP (JJ congressional) (NN approval))))))) (. .))",e110,ei1599,seeking,Bush will seek congressional approval,AUTHOR:uu,ct_minus:2|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:8,train
AP900815-0044.tml,30,"There have been reports of wholesale looting but food and gasoline were still available, said a spokesman, who by custom was not identified.","(SINV (S (S (NP (EX There)) (VP (VBP have) (VP (VBN been) (NP (NP (NNS reports)) (PP (IN of) (NP (JJ wholesale) (NN looting))))))) (CC but) (S (NP (NN food) (CC and) (NN gasoline)) (VP (VBD were) (ADVP (RB still)) (ADJP (JJ available))))) (, ,) (VP (VBD said)) (NP (NP (DT a) (NN spokesman)) (, ,) (SBAR (WHNP (WHNP (WP who)) (PP (IN by) (NP (NN custom)))) (S (VP (VBD was) (RB not) (VP (VBN identified)))))) (. .))",e158,ei1639,identified,the spokesman was identified,AUTHOR:ct_minus,ct_minus:9|ct_plus:1|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900815-0044.tml,40,The size of the contingent was not disclosed.,(S (NP (NP (DT The) (NN size)) (PP (IN of) (NP (DT the) (NN contingent)))) (VP (VBD was) (RB not) (VP (VBN disclosed))) (. .)),e198,ei1667,disclosed,the size of the contingent was disclosed,AUTHOR:ct_minus,ct_minus:10|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900815-0044.tml,46,"In an interview from Jordan on ABC, he declined to discuss details, but said: ``I don\'t think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future.\'\","(S (S (PP (IN In) (NP (NP (DT an) (NN interview)) (PP (IN from) (NP (NP (NNP Jordan)) (PP (IN on) (NP (NNP ABC))))))) (, ,) (NP (PRP he)) (VP (VP (VBD declined) (S (VP (TO to) (VP (VB discuss) (NP (NNS details)))))) (, ,) (CC but) (VP (VBD said)))) (: :) (`` ``) (S (NP (NP (NNP I) (NNP don) (POS ')) (NN t)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP$ his) (NN majesty)) (VP (MD would) (VP (VB be) (VP (VBG traveling) (PP (IN at) (NP (DT this) (JJ crucial) (NN moment))) (SBAR (IN if) (S (NP (DT the) (JJ Iraqi) (NN leadership)) (VP (VBD did) (RB not) (VP (VB have) (NP (DT a) (JJ rational) (NN approach)) (PP (TO to) (NP (DT the) (NN future)))))))))))))) (. .) ('' '))",e220,ei1683,discuss,he discussed the details,AUTHOR:ct_minus,ct_minus:10|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900815-0044.tml,47,A CBS News report citing unidentified Jordanian sources said that Saddam\'s message called for an international conference to be convened to discuss an Iraqi withdrawal from Kuwait.,(S (NP (NP (DT A) (NNP CBS) (NNP News) (NN report)) (VP (VBG citing) (NP (JJ unidentified) (NNP Jordanian) (NNS sources)))) (VP (VBD said) (SBAR (IN that) (S (NP (NP (NNP Saddam) (POS 's)) (NN message)) (VP (VBD called) (PP (IN for) (NP (DT an) (JJ international) (NN conference))) (S (VP (TO to) (VP (VB be) (VP (VBN convened) (S (VP (TO to) (VP (VB discuss) (NP (DT an) (JJ Iraqi) (NN withdrawal)) (PP (IN from) (NP (NNP Kuwait)))))))))))))) (. .)),e233,ei1692,conference,there will be an international conference,report_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:3|ps_minus:0|ps_plus:2|uu:4,train
AP900815-0044.tml,51,"On Tuesday, the United States and Soviet Union conferred in Washington on putting an anti-Iraq naval blockade under a United Nations umbrella.","(S (PP (IN On) (NP (NNP Tuesday))) (, ,) (NP (DT the) (NNP United) (NNPS States) (CC and) (NNP Soviet) (NNP Union)) (VP (VBD conferred) (PP (IN in) (NP (NNP Washington))) (PP (IN on) (S (VP (VBG putting) (NP (DT an) (JJ anti-Iraq) (JJ naval) (NN blockade)) (PP (IN under) (NP (DT a) (NNP United) (NNPS Nations) (NN umbrella))))))) (. .))",e255,ei1711,blockade,there will be an anti-Iraq naval blockade,AUTHOR:ps_plus,ct_minus:0|ct_plus:2|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:2|uu:4,train
AP900815-0044.tml,59,"At least 50,000 U.S. troops are expected to be committed to Desert Shield within weeks, including Marines, Army air assault forces, paratroopers and infantry.","(S (NP (QP (IN At) (JJS least) (CD 50,000)) (NNP U.S.) (NNS troops)) (VP (VBP are) (VP (VBN expected) (S (VP (TO to) (VP (VB be) (VP (VBN committed) (PP (TO to) (NP (NP (NNP Desert) (NNP Shield)) (PP (IN within) (NP (NNS weeks))))))))) (, ,) (PP (VBG including) (NP (NP (NNPS Marines)) (, ,) (NP (NNP Army) (NN air) (NN assault) (NNS forces)) (, ,) (NP (NNS paratroopers)) (CC and) (NP (NN infantry)))))) (. .))",e285,ei1734,committed,"at least 50,000 U.S. troops will be committed to Desert Shield within weeks",GEN_AUTHOR:pr_plus|AUTHOR:pr_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:9|ps_minus:0|ps_plus:0|uu:0,train
AP900816-0139.tml,6,Foodstuffs are among the goods being blocked from entry;,(S (NP (NNS Foodstuffs)) (VP (VBP are) (PP (IN among) (NP (NP (DT the) (NNS goods)) (VP (VBG being) (VP (VBN blocked) (PP (IN from) (NP (NN entry)))))))) (: ;)),e27,ei1554,entry,there is entry of foodstuffs,AUTHOR:ct_minus,ct_minus:10|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
AP900816-0139.tml,13,Iraq said the roundup was to protect them from unspecified threats;,(S (NP (NNP Iraq)) (VP (VBD said) (SBAR (S (NP (DT the) (NN roundup)) (VP (VBD was) (S (VP (TO to) (VP (VB protect) (NP (PRP them)) (PP (IN from) (NP (JJ unspecified) (NNS threats)))))))))) (: ;)),e44,ei1577,protect,the roundup protects Iraq,Iraq_AUTHOR:uu|AUTHOR:uu,ct_minus:0|ct_plus:3|pr_minus:0|pr_plus:3|ps_minus:0|ps_plus:2|uu:2,train
AP900816-0139.tml,19,"In addition to the estimated 45,000 Marines to ultimately be part of Operation Desert Shield, Stealth fighter planes and the aircraft carrier John F. Kennedy are also headed to Saudi Arabia to protect it from Iraqi expansionism.","(S (PP (IN In) (NP (NP (NN addition)) (PP (TO to) (NP (DT the) (JJ estimated) (CD 45,000) (NNS Marines))) (S (VP (TO to) (ADVP (RB ultimately)) (VP (VB be) (NP (NP (NN part)) (PP (IN of) (NP (NP (NNP Operation) (NNP Desert) (NNP Shield)) (, ,) (NP (NNP Stealth) (NN fighter) (NNS planes)) (CC and) (NP (DT the) (NN aircraft) (NN carrier)))))))))) (NP (NNP John) (NNP F.) (NNP Kennedy)) (VP (VBP are) (ADVP (RB also)) (VP (VBN headed) (PP (TO to) (NP (NNP Saudi) (NNP Arabia))) (S (VP (TO to) (VP (VB protect) (NP (PRP it)) (PP (IN from) (NP (JJ Iraqi) (NN expansionism)))))))) (. .))",e233,ei1588,expansionism,there is Iraqi expansionism,AUTHOR:uu,ct_minus:0|ct_plus:0|pr_minus:0|pr_plus:2|ps_minus:0|ps_plus:3|uu:5,train
